game_idx,season,date,league,venue,matchup,url
1611177,2024,10월06일 (일) 09:00,일요 싱글,살곶이야구장,gaepo mammoth 11 한양대학교 D-Dogs OB 3,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1611177
1612539,2024,10월06일 (일) 13:00,디비전 6-강남구,구의 야구장,한양대학교 불새 8 한양대학교 D-Dogs OB 3,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1612539
1613817,2024,10월06일 (일) 15:00,생활체육서울시민리그,신월야구장,한양대학교 D-Dogs OB 2 중앙대학교 랑데뷰 10,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1613817
1614080,2024,10월13일 (일) 13:00,디비전 6-강남구,구의야구장,한양대학교 D-Dogs OB 11 서울시립대 FALCONS OB 7,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1614080
1615812,2024,11월16일 (토) 09:30,성동구청장기 야구대회,살곶이야구장,블레스트 7 한양대학교 D-Dogs OB 5,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1615812
1616445,2024,11월10일 (일) 09:00,디비전 6-강남구,난지야구장,한양대학교 D-Dogs OB 12 스마일스 야구단 1,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1616445
1617090,2024,11월17일 (일) 11:00,디비전 6-강남구,난지야구장,Triple Axel 2 한양대학교 D-Dogs OB 콜드승 10,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1617090
1618740,2024,12월01일 (일) 09:00,디비전 6-강남구,난지야구장,쿠팡 로켓츠 2 한양대학교 D-Dogs OB 6,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1618740
1623406,2025,02월23일 (일) 17:40,일요 3부,"배명중,고 야구장",플레이보이즈 0 한양대학교 D-Dogs OB 15,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1623406
1623411,2025,03월09일 (일) 13:40,일요 3부,"배명중,고 야구장",신과함께 0 한양대학교 D-Dogs OB 7,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1623411
1623414,2025,03월23일 (일) 13:40,일요 3부,"배명중,고 야구장",한양대학교 D-Dogs OB 5 Team LEO 6,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1623414
1623419,2025,04월06일 (일) 15:40,일요 3부,"배명중,고 야구장",한양대학교 D-Dogs OB 8 SC 134 4,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1623419
1623420,2025,04월13일 (일) 13:40,일요 3부,"배명중,고 야구장",홀릭스 2 한양대학교 D-Dogs OB 9,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1623420
1623424,2025,04월27일 (일) 07:40,일요 3부,"배명중,고 야구장",한양대학교 D-Dogs OB 4 bastards baseball club2015 6,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1623424
1623432,2025,05월25일 (일) 07:40,일요 3부,"배명중,고 야구장",멘토리프렌즈 0 한양대학교 D-Dogs OB 9,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1623432
1623436,2025,06월08일 (일) 11:40,일요 3부,"배명중,고 야구장",레우스 10 한양대학교 D-Dogs OB 3,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1623436
1623442,2025,06월29일 (일) 17:40,일요 3부,"배명중,고 야구장",한양대학교 D-Dogs OB 5 플레이보이즈 6,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1623442
1623447,2025,07월13일 (일) 15:40,일요 3부,"배명중,고 야구장",한양대학교 D-Dogs OB 13 신과함께 2,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1623447
1623450,2025,07월27일 (일) 15:40,일요 3부,"배명중,고 야구장",Team LEO 9 한양대학교 D-Dogs OB 2,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1623450
1631199,2025,03월05일 (수) 20:00,수요 야간,살곶이야구장,한양대학교 D-Dogs OB 8 Nooky Nooks 8,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1631199
1631206,2025,03월26일 (수) 22:00,수요 야간,살곶이야구장,파인트리스 8 한양대학교 D-Dogs OB 5,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1631206
1631211,2025,04월16일 (수) 20:00,수요 야간,살곶이야구장,한양대학교 D-Dogs OB 3 아가리파이터스 콜드승 11,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1631211
1631218,2025,05월07일 (수) 22:00,수요 야간,살곶이야구장,TKO Hunters 2 한양대학교 D-Dogs OB 콜드승 10,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1631218
1631222,2025,05월21일 (수) 22:00,수요 야간,살곶이야구장,한양대학교 D-Dogs OB 4 드링커스야구단 6,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1631222
1631226,2025,06월04일 (수) 22:00,수요 야간,살곶이야구장,언더독 1 한양대학교 D-Dogs OB 콜드승 14,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1631226
1631233,2025,07월02일 (수) 20:00,수요 야간,살곶이야구장,한양대학교 D-Dogs OB 0 트위너스 콜드승 14,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1631233
1631237,2025,09월03일 (수) 20:00,수요 야간,살곶이야구장,한양대학교 D-Dogs OB 17 함부로 5,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1631237
1631242,2025,07월30일 (수) 22:00,수요 야간,살곶이야구장,SD ARROWs 2 한양대학교 D-Dogs OB 0,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1631242
1631248,2025,08월20일 (수) 22:00,수요 야간,살곶이야구장,S.D Rainbow 14 한양대학교 D-Dogs OB 4,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1631248
1632480,2025,03월16일 (일) 13:00,일요메이져,배재고야구장,한양대학교 D-Dogs OB 6 티오프 7,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1632480
1632483,2025,04월20일 (일) 13:00,일요메이져,배재고야구장,한양대학교 D-Dogs OB 콜드승 22 노라조슈퍼맨즈 5,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1632483
1632489,2025,05월11일 (일) 07:00,일요메이져,배재고야구장,한양대학교 D-Dogs OB 콜드승 10 야미사 Baseball 3,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1632489
1632501,2025,07월20일 (일) 07:00,일요메이져,배재고야구장,팀고덕 11 한양대학교 D-Dogs OB 0,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1632501
1632509,2025,07월13일 (일) 09:00,일요메이져,배재고야구장,팀-BORN 3 한양대학교 D-Dogs OB 0,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1632509
1632516,2025,08월31일 (일) 13:00,일요메이져,배재고야구장,드래곤볼Z 0 한양대학교 D-Dogs OB 10,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1632516
1632523,2025,01월11일 (일) 08:00,일요메이져,배재고야구장,위비야구단 3 한양대학교 D-Dogs OB 15,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1632523
1632530,2025,11월02일 (일) 17:00,일요메이져,배재고야구장,D-Story 6 한양대학교 D-Dogs OB 13,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1632530
